,serie,martinez,lacalle,total_19_bal,fa_19,multi_19,fa,core,orsi,delgado
188,DEF,11.475409836065573,88.52459016393442,61.0,8.47457627118644,91.52542372881356,7.142857142857142,92.85714285714286,8.142857142857142,91.85714285714286
189,DEG,42.61744966442953,57.38255033557047,298.0,32.89473684210527,59.868421052631575,31.08695652173913,63.47826086956522,32.086956521739125,67.91304347826087
190,DEH,45.26198439241917,54.73801560758083,897.0,32.47767857142857,61.160714285714285,39.72422849638871,52.33092580433355,40.72422849638871,59.27577150361129
191,DFA,23.267750213857997,76.732249786142,2338.0,14.890885750962774,81.77150192554558,19.127806563039723,75.77720207253886,20.127806563039723,79.87219343696027
192,DFB,8.823529411764707,91.17647058823529,136.0,4.316546762589928,93.5251798561151,9.16030534351145,88.54961832061069,10.16030534351145,89.83969465648855
193,DZZ,33.23485967503693,66.76514032496307,1354.0,22.01914708442124,72.41079199303742,31.570512820512818,62.580128205128204,32.57051282051282,67.42948717948718
194,EAA,45.737344093910494,54.262655906089506,20445.0,34.79670005892752,61.72657631113731,42.07030451665645,53.51011649294911,43.07030451665645,56.92969548334355
195,EBA,20.56737588652482,79.43262411347519,141.0,13.768115942028986,83.33333333333334,27.450980392156865,61.76470588235294,28.450980392156865,71.54901960784314
196,EBB,47.10424710424711,52.8957528957529,259.0,41.40625,57.421875,44.636678200692046,51.55709342560553,45.636678200692046,54.363321799307954
197,EBC,24.175824175824175,75.82417582417582,91.0,14.285714285714285,83.33333333333333,22.36842105263158,69.73684210526315,23.36842105263158,76.63157894736842
198,ECA,15.0,85.0,20.0,10.526315789473683,89.4736842105263,15.789473684210526,73.68421052631578,16.789473684210527,83.21052631578948
199,ECB,54.61956521739131,45.380434782608695,368.0,41.917808219178085,51.50684931506849,46.84466019417476,43.932038834951456,47.84466019417476,52.15533980582524
200,ECC,28.80658436213992,71.19341563786008,243.0,21.25,75.83333333333333,25.943396226415093,69.81132075471699,26.943396226415093,73.05660377358491
201,ECD,12.5,87.5,48.0,7.4074074074074066,90.74074074074075,30.612244897959183,67.34693877551021,31.612244897959183,68.38775510204081
202,ECE,27.62557077625571,72.3744292237443,876.0,20.228571428571428,77.82857142857142,27.590511860174782,68.66416978776529,28.590511860174782,71.40948813982521
203,ECF,17.91044776119403,82.08955223880598,67.0,7.246376811594203,91.30434782608695,14.285714285714285,80.95238095238096,15.285714285714285,84.71428571428572
204,ECG,53.34409594095941,46.655904059040594,4336.0,40.344346207538386,50.83759888320149,51.47849462365591,41.18663594470046,52.47849462365591,47.52150537634409
205,EDA,19.444444444444446,80.55555555555556,36.0,13.513513513513514,81.08108108108108,13.88888888888889,75.0,14.88888888888889,85.11111111111111
206,EDB,4.545454545454546,95.45454545454545,44.0,2.2222222222222223,97.77777777777777,2.564102564102564,97.43589743589743,3.564102564102564,96.43589743589743
207,EDC,39.02880410194541,60.971195898054596,6631.0,30.306674684305474,66.9573060733614,34.873749404478325,60.82261394314753,35.873749404478325,64.12625059552167
208,EEA,37.50661259037207,62.49338740962793,5671.0,28.007750572485467,69.63184780694029,38.323795458741,58.03950526121469,39.323795458741,60.676204541259
209,EEB,7.5,92.5,80.0,6.329113924050633,93.67088607594937,7.6923076923076925,83.33333333333331,8.692307692307693,91.3076923076923
210,EFA,42.93537787513691,57.064622124863085,913.0,33.259911894273124,63.986784140969164,37.72522522522522,57.432432432432435,38.72522522522522,61.27477477477478
211,EFB,49.86574177668382,50.13425822331617,8938.0,40.854487760652766,55.65503173164098,45.65103346973035,50.15213513797083,46.65103346973035,53.34896653026965
212,EFC,38.10470510271703,61.89529489728297,1509.0,30.738522954091817,66.9328010645376,33.81245722108145,62.3545516769336,34.81245722108145,65.18754277891856
213,EFD,34.27010148321624,65.72989851678376,1281.0,27.914353687549564,70.97541633624108,30.610561056105613,67.57425742574256,31.610561056105613,68.38943894389439
214,EFE,16.666666666666664,83.33333333333334,54.0,15.686274509803921,84.31372549019608,24.390243902439025,73.17073170731707,25.390243902439025,74.60975609756098
215,EFF,19.642857142857142,80.35714285714286,56.0,12.727272727272727,87.27272727272728,15.555555555555555,80.0,16.555555555555557,83.44444444444444
216,EFG,25.664893617021278,74.33510638297872,752.0,19.034852546916888,79.75871313672923,22.492836676217763,72.34957020057305,23.492836676217763,76.50716332378224
217,EFH,46.65898617511521,53.3410138248848,868.0,39.018691588785046,55.95794392523364,45.44037412314887,49.4933749025721,46.44037412314887,53.55962587685113
218,EFI,62.71604938271606,37.28395061728395,405.0,53.015075376884425,40.7035175879397,56.490727532097004,32.95292439372326,57.490727532097004,42.509272467902996
219,EZZ,39.972714870395635,60.027285129604365,733.0,30.567685589519648,65.50218340611353,41.62234042553192,53.723404255319146,42.62234042553192,57.37765957446808
220,FAA,38.06708357021035,61.93291642978965,17590.0,29.370024229837316,68.29352717203184,34.25367261280168,61.38509968520461,35.25367261280168,64.74632738719832
221,FAB,45.09803921568628,54.90196078431373,255.0,33.72549019607843,63.529411764705884,41.962421711899786,54.906054279749476,42.962421711899786,57.037578288100214
222,FAC,47.5206611570248,52.47933884297521,484.0,33.88773388773389,64.03326403326403,43.297587131367294,53.75335120643432,44.297587131367294,55.702412868632706
223,FAD,39.58333333333333,60.416666666666664,336.0,30.120481927710845,67.77108433734941,32.74647887323944,63.73239436619719,33.74647887323944,66.25352112676056
224,FAE,42.98093587521664,57.019064124783355,577.0,32.34265734265735,65.9090909090909,35.10436432637571,60.3415559772296,36.10436432637571,63.89563567362429
225,FAF,41.343669250645995,58.656330749354005,387.0,26.912928759894463,70.18469656992085,37.46268656716418,58.208955223880594,38.46268656716418,61.53731343283582
226,FBA,40.79850280723643,59.20149719276356,3206.0,27.4906600249066,71.79327521793275,40.76370757180157,56.65796344647519,41.76370757180157,58.23629242819843
227,FBB,19.548872180451127,80.45112781954887,133.0,10.48951048951049,88.1118881118881,23.275862068965516,73.27586206896551,24.275862068965516,75.72413793103448
228,FBC,39.679865206402695,60.320134793597305,1187.0,31.983471074380166,67.02479338842974,35.993061578490895,61.9254119687771,36.993061578490895,63.006938421509105
229,FBD,49.24242424242424,50.75757575757576,132.0,27.06766917293233,72.93233082706766,44.047619047619044,55.952380952380956,45.047619047619044,54.952380952380956
230,FBE,38.13682678311499,61.863173216885,687.0,22.39657631954351,76.31954350927246,33.282208588957054,63.34355828220859,34.282208588957054,65.71779141104295
231,FBF,8.75,91.25,80.0,7.142857142857142,90.47619047619048,8.19672131147541,90.1639344262295,9.19672131147541,90.80327868852459
232,FCA,27.33812949640288,72.66187050359713,139.0,21.374045801526716,76.33587786259542,30.693069306930692,64.35643564356437,31.693069306930692,68.3069306930693
233,FCB,29.97416020671835,70.02583979328165,387.0,23.969072164948454,75.25773195876289,24.702380952380953,69.94047619047619,25.702380952380953,74.29761904761905
234,FCC,46.2962962962963,53.70370370370371,54.0,31.48148148148148,68.51851851851852,35.294117647058826,60.78431372549019,36.294117647058826,63.705882352941174
235,FCD,9.523809523809524,90.47619047619048,63.0,11.11111111111111,88.88888888888889,10.909090909090908,78.18181818181817,11.909090909090908,88.0909090909091
236,FCE,18.947368421052634,81.05263157894737,190.0,11.594202898550725,87.43961352657004,18.75,77.27272727272728,19.75,80.25
237,FCF,5.263157894736842,94.73684210526315,38.0,5.0,92.5,6.0606060606060606,81.81818181818183,7.0606060606060606,92.93939393939394
